UID,displacementX,displacementY,displacement,totalTravelX,totalTravelY,totalTravel,timeElapsed,meanStepDisplacementX,meanStepDisplacementY,meanStepDisplacement,meanStepTravelX,meanStepTravelY,meanStepTravel,sdStepTravelX,sdStepTravelY,sdStepTravel,shapiroDisplacementX,shapiroDisplacementY,shapiroDisplacement,lab,meanVideoStepDisplacementX,meanVideoStepDisplacementY,meanVideoStepDisplacement,sdVideoMeanStepDisplacementX,sdVideoMeanStepDisplacementY,sdVideoMeanStepDisplacement,sdVideoMeanStepTravelX,sdVideoMeanStepTravelY,sdVideoMeanStepTravel
lab_19_0,3.0,-9.0,9.486832980505138,3.0,9.0,9.486832980505138,286,0.0136986301369863,-0.0410958904109589,0.04331887205710108,4.023069927445122,4.4106204274927014,6.383753202692625,0.10043067327818615,0.30129201983455844,0.31758967450327746,8.837444582306852e-31,8.83754144304136e-31,8.837444582306852e-31,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_1,21.0,102.0,104.1393297462587,662.3340000000001,537.3340000000001,852.8857808124135,301,0.06976744186046512,0.3388704318936877,0.3459778396885671,4.023069927445122,4.4106204274927014,6.383753202692625,1.569327022476027,1.3425739856909213,2.065258388320328,6.674630276393145e-05,0.0017954381182789803,2.342739175396902e-13,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_10,5.0,-4.0,6.4031242374328485,5.0,6.217999999999961,7.978942536451776,88,0.056818181818181816,-0.045454545454545456,0.07276277542537328,4.023069927445122,4.4106204274927014,6.383753202692625,0.024081087191624124,0.061244088093841936,0.06580833599762932,9.26615013017995e-13,1.31752464840873e-13,3.1467406805263387e-13,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_11,221.0,-95.0,240.55352834660314,221.0,157.0,271.0903908293321,62,3.564516129032258,-1.532258064516129,3.879895618493599,4.023069927445122,4.4106204274927014,6.383753202692625,2.0497706460364675,1.8602159511776066,2.768025123868706,0.0015301587991416454,0.0006848738994449377,1.5543084373348393e-05,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_12,45.0,-450.0,452.2444029504401,153.0,450.0,475.2988533543922,44,1.0714285714285714,-10.714285714285714,10.767723879772381,4.023069927445122,4.4106204274927014,6.383753202692625,2.681400625219061,3.8956775881415417,4.72929309555598,0.5666231513023376,6.574854342034087e-05,0.00031891511753201485,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_13,-1.0,157.0,157.00318468107582,107.0,167.0,198.33809518093088,97,-0.016129032258064516,2.532258064516129,2.5323094303399323,4.023069927445122,4.4106204274927014,6.383753202692625,1.1430390990223653,1.7852174772859122,2.1197971183820723,0.12530213594436646,0.03084229677915573,0.04208975285291672,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_14,-111.0,-1008.0,1014.0931909839451,285.0,1008.0,1047.5156323415895,103,-1.6323529411764706,-14.823529411764707,14.913135161528604,4.023069927445122,4.4106204274927014,6.383753202692625,3.3144396826665297,3.9221261921032076,5.1350349830178,0.12570661306381226,0.00018214349984191358,8.133702067425475e-06,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_15,1000.0,739.0,1243.4311400314857,1006.0,967.0,1395.3942095336356,180,8.19672131147541,6.057377049180328,10.192058524848242,4.023069927445122,4.4106204274927014,6.383753202692625,4.1122796466150655,4.550027985478492,6.13299262681784,0.008638483472168446,1.2103059532364568e-07,2.833572543270435e-10,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_16,-1.0,14.0,14.035668847618199,1.0,14.0,14.035668847618199,69,-0.3333333333333333,4.666666666666667,4.6785562825394,4.023069927445122,4.4106204274927014,6.383753202692625,0.23570226039551584,3.299831645537222,3.308238873546535,-6.830188112871838e-07,-6.830188112871838e-07,-6.830188112871838e-07,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_17,-6.0,-48.0,48.373546489791295,68.0,88.0,111.21151019566275,98,-0.2,-1.6,1.61245154965971,4.023069927445122,4.4106204274927014,6.383753202692625,1.495734698697897,3.5029352866163865,3.808907705774861,0.0896235853433609,2.78462848655181e-05,3.6280901838381396e-08,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_18,-30.0,-10.0,31.622776601683793,252.0,334.0,418.4017208377614,226,-0.2054794520547945,-0.0684931506849315,0.2165943602855054,4.023069927445122,4.4106204274927014,6.383753202692625,1.298371102496253,1.5424916691659716,2.0161964361747495,0.00014024550910107791,0.0005360683426260948,0.00276671233586967,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_19,-237.0,-613.0,657.2199023158079,379.0,613.0,720.7010475918569,163,-2.9625,-7.6625,8.215248778947597,4.023069927445122,4.4106204274927014,6.383753202692625,2.455489187514374,2.395318799241554,3.430303091564942,5.207080175750889e-05,0.005510312505066395,4.491684180152333e-08,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_2,-561.0,216.0,601.1464047967017,561.0,244.0,611.7654779406893,45,-12.466666666666667,4.8,13.358808995482262,4.023069927445122,4.4106204274927014,6.383753202692625,4.7027178902795725,4.160602995234059,6.279026424494977,0.6047421097755432,0.5795977115631104,0.8192466497421265,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_20,75.0,679.0,683.1295631137625,495.0,703.0,859.7871829702976,240,0.5813953488372093,5.263565891472868,5.295578008633817,4.023069927445122,4.4106204274927014,6.383753202692625,2.839866700863468,3.358949035779263,4.398565846231655,0.00474202074110508,1.5798497770447284e-05,1.6846346625243314e-05,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_21,283.0,-87.0,296.0709374457412,335.0,349.0,483.76233834394344,200,3.628205128205128,-1.1153846153846154,3.7957812493043743,4.023069927445122,4.4106204274927014,6.383753202692625,2.6475709300634973,2.5851698648467507,3.700369584221157,0.01569926179945469,0.007159176282584667,0.032012730836868286,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
lab_19_22,0.0,-7.0,7.0,0.0,7.0,7.0,169,0.0,-1.75,1.75,4.023069927445122,4.4106204274927014,6.383753202692625,0.0,1.0103630535604515,1.0103630535604515,1.0,0.0012577178422361612,0.0012577138841152191,1.0,0.07898559991973433,-0.11788131732646005,5.405275986410596,4.922968437196694,5.115829071921162,4.605480601137177,3.384294936448285,3.4007499610017957,4.231419591314961
