UID,meanStepDisplacement,meanStepTravel,sdStepDisplacement,sdStepTravel,shapiroDisplacement,meanAngle,sdAngle,lab,meanVideoStepDisplacement,sdVideoMeanStepDisplacement,meanVideoStepTravel,sdVideoMeanStepTravel,meanVideoAngle,sdVideoAngle
lab_19_0,0.04331887205710108,0.04331887205710108,0.31758967450327746,0.31758967450327746,8.837444582306852e-31,-0.022813621413666746,0.16725667716963835,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_1,0.3459778396885671,2.8335075774498786,3.489177085852449,2.065258388320328,2.342739175396902e-13,-0.02298101976351451,0.8215150143033997,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_10,0.07276277542537328,0.09066980155058836,0.08518995546657275,0.06580833599762932,3.1467406805263387e-13,-0.11239078466197426,0.7543323756456428,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_11,3.879895618493599,4.372425658537614,3.424394722487556,2.768025123868706,1.5543084373348393e-05,-0.4020214327705512,0.6238499778938857,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_12,10.767723879772381,11.316639365580766,5.8727048421715615,4.72929309555598,0.00031891511753201485,-0.3222402044688872,1.194762904677044,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_13,2.5323094303399323,3.1990015351763046,2.88349780547389,2.1197971183820723,0.04208975285291672,0.46765074452853217,0.8694372697209538,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_14,14.913135161528604,15.404641652082198,6.42417063595462,5.1350349830178,8.133702067425475e-06,0.32723092027360207,1.261344527234282,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_15,10.192058524848242,11.437657455193737,8.03464682789599,6.13299262681784,2.833572543270435e-10,0.5748784281305982,0.6439867809556105,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_16,4.6785562825394,4.6785562825394,3.308238873546535,3.308238873546535,-6.830188112871838e-07,-0.9996592413397375,0.7068658284271279,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_17,1.61245154965971,3.707050339855425,5.0645829180035475,3.808907705774861,3.6280901838381396e-08,-0.24837031277427618,0.9046207592522539,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_18,0.2165943602855054,2.8657652112175436,3.497248232276486,2.0161964361747495,0.00276671233586967,0.2028336090897552,0.9727720973120333,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_19,8.215248778947597,9.00876309489821,5.043260780487164,3.430303091564942,4.491684180152333e-08,0.3190420075255104,1.004321872941658,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_2,13.358808995482262,13.594788398681985,6.766584564362339,6.279026424494977,0.8192466497421265,-0.35698177210666326,0.33634730710420885,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_20,5.295578008633817,6.665016922250369,5.977180408185224,4.398565846231655,1.6846346625243314e-05,0.3134792905334148,0.9591992039492822,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_21,3.7957812493043743,6.202081260819788,6.144151018087881,3.700369584221157,0.032012730836868286,0.07089193232715806,0.8825497309797826,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_22,1.75,1.75,1.0103630535604515,1.0103630535604515,0.0012577138841152191,-1.1780972450961724,0.6801747615878317,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_23,1.2345521064436227,1.6779993257665662,2.0255577247947327,1.6766995147392836,7.186503453958382e-13,-0.24208994699632735,0.6552385941671782,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_24,9.19811784556093,9.391507505355063,3.887812063954237,3.394118637041736,0.0006262141396291554,0.3758181918718017,0.2980326526076448,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
lab_19_25,1.735463718873612,4.131707385229472,4.509359103756012,2.5050245366051973,0.07506375759840012,0.18387109575850594,0.4455401304872037,1.0,5.405275986410596,4.605480601137177,6.383753202692625,4.231419591314961,-0.005333139754731792,0.3041065554750761
